#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as,Label
1631723345,91210,86648392,140.30.20.1,1,52,86622092,86622092,0,0,140.30.20.12,152.148.48.13,140.30.20.2,1168,1168,80,44400,6,0,16,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86622444,86622444,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,55828,80,6,0,16,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86622976,86622976,0,0,152.148.48.8,140.30.20.126,0.0.0.0,1168,1168,50976,80,6,0,17,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,348,86624140,86624140,0,0,140.30.20.191,152.148.48.12,140.30.20.2,1168,1168,80,56632,6,0,24,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86625244,86625244,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,57034,80,6,0,16,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86625844,86625844,0,0,140.30.20.191,152.148.48.12,140.30.20.2,1168,1168,80,57412,6,0,16,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86626312,86626312,0,0,140.30.20.191,152.148.48.12,140.30.20.2,1168,1168,80,57832,6,0,16,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,88,86627096,86627096,0,0,140.30.20.3,140.30.20.84,0.0.0.0,65535,1168,0,1281,1,192,0,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,60,86627096,86627096,0,0,140.30.20.84,152.148.48.11,140.30.20.2,1168,1168,443,52822,6,0,18,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,60,86627416,86627416,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,58638,80,6,0,2,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,60,86627716,86627716,0,0,140.30.20.191,152.148.48.12,140.30.20.2,1168,1168,80,59040,6,0,18,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86628132,86628132,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,59432,80,6,0,17,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,2,168,86627716,86628504,0,0,140.30.20.3,140.30.20.191,0.0.0.0,65535,1168,0,1281,1,192,0,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86628504,86628504,0,0,140.30.20.191,152.148.48.12,140.30.20.2,1168,1168,80,59832,6,0,17,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86628848,86628848,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,60228,80,6,0,17,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86629204,86629204,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,60626,80,6,0,17,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,60,86629580,86629580,0,0,152.148.48.11,140.30.20.84,0.0.0.0,1168,1168,55626,443,6,0,2,0,0,0,0,1
