dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,28,611,638,63629,51022,17,0,0,1
1,28,611,638,63629,62606,17,0,0,1
1,28,611,638,63631,18269,17,0,0,1
1,28,611,638,63627,26811,17,0,0,1
1,28,675,595,63629,8299,17,0,0,1
1,28,611,638,63632,28123,17,0,0,1
1,28,675,595,63625,46204,17,0,0,1
1,28,675,595,63628,15359,17,0,0,1
1,28,611,638,63633,60591,17,0,0,1
1,28,675,595,63625,24144,17,0,0,1
1,28,675,595,63630,25179,17,0,0,1
1,28,611,638,63631,26731,17,0,0,1
1,28,611,638,63628,33126,17,0,0,1
1,28,675,595,63625,37962,17,0,0,1
1,28,675,595,63631,27109,17,0,0,1
1,28,611,638,63627,19807,17,0,0,1
1,28,611,638,63626,22148,17,0,0,1
1,28,611,638,63702,14930,17,0,0,1
1,28,611,638,63630,36436,17,0,0,1
1,28,611,638,63625,35161,17,0,0,1
1,28,611,638,63631,52329,17,0,0,1
1,28,611,638,63627,5039,17,0,0,1
1,28,675,595,63632,31889,17,0,0,1
1,28,675,595,63626,38094,17,0,0,1
1,28,675,595,63633,47529,17,0,0,1
1,28,611,638,63633,13224,17,0,0,1
1,28,675,595,63625,52430,17,0,0,1
1,28,611,638,63632,20654,17,0,0,1
1,28,611,638,63629,43851,17,0,0,1
1,28,611,638,63629,48207,17,0,0,1
1,28,675,595,63627,45883,17,0,0,1
1,28,675,595,63626,20803,17,0,0,1
1,28,611,638,63633,36881,17,0,0,1
1,28,611,638,63633,24372,17,0,0,1
1,28,675,595,63626,13954,17,0,0,1
1,28,611,638,63633,12551,17,0,0,1
1,28,675,595,63632,36248,17,0,0,1
1,28,611,638,63629,34671,17,0,0,1
1,28,611,638,63628,452,17,0,0,1
1,28,611,638,63632,40389,17,0,0,1
1,28,611,638,63633,12170,17,0,0,1
1,28,611,638,63631,20476,17,0,0,1
1,28,675,595,63625,29471,17,0,0,1
1,28,675,595,63631,46962,17,0,0,1
1,28,675,595,63626,22476,17,0,0,1
1,28,675,595,63631,1601,17,0,0,1
1,28,611,638,63628,54852,17,0,0,1
1,28,611,638,63630,57249,17,0,0,1
1,28,611,638,63628,40615,17,0,0,1
1,28,611,638,63632,30389,17,0,0,1
1,28,675,595,63625,36591,17,0,0,1
1,28,611,638,63631,227,17,0,0,1
1,28,611,638,63627,23204,17,0,0,1
1,28,611,638,63632,53429,17,0,0,1
1,28,611,638,63628,57109,17,0,0,1
1,28,611,638,63628,27427,17,0,0,1
1,28,611,638,63628,56892,17,0,0,1
1,28,675,595,63630,40782,17,0,0,1
1,28,611,638,63631,39233,17,0,0,1
1,28,611,638,63631,28672,17,0,0,1
1,28,675,595,63628,58235,17,0,0,1
1,28,675,595,63631,24215,17,0,0,1
1,28,611,638,63627,37287,17,0,0,1
1,28,611,638,63629,34827,17,0,0,1
1,28,611,638,63633,26354,17,0,0,1
1,28,611,638,63629,47714,17,0,0,1
1,28,675,595,63633,11078,17,0,0,1
1,28,675,595,63629,20429,17,0,0,1
1,28,611,638,63628,34487,17,0,0,1
1,28,611,638,63630,28364,17,0,0,1
1,28,611,638,63631,21386,17,0,0,1
1,28,611,638,63749,14930,17,0,0,1
1,28,675,595,63627,31301,17,0,0,1
1,28,675,595,63628,30573,17,0,0,1
1,28,675,595,63628,28266,17,0,0,1
1,28,675,595,63629,60393,17,0,0,1
1,28,675,595,63630,37982,17,0,0,1
1,28,675,595,63863,14930,17,0,0,1
1,28,611,638,63631,30214,17,0,0,1
1,28,675,595,63627,23246,17,0,0,1
1,28,675,595,63629,61465,17,0,0,1
1,28,611,638,63761,14930,17,0,0,1
1,28,611,638,63631,10861,17,0,0,1
1,28,611,638,63633,42521,17,0,0,1
1,28,675,595,63631,59022,17,0,0,1
1,28,611,638,63633,1632,17,0,0,1
1,28,675,595,63630,35641,17,0,0,1
1,28,675,595,63632,9472,17,0,0,1
1,28,611,638,63782,14930,17,0,0,1
1,28,675,595,63632,22588,17,0,0,1
1,28,611,638,63630,54447,17,0,0,1
1,28,675,595,63628,21289,17,0,0,1
1,28,611,638,63628,41582,17,0,0,1
1,28,675,595,63884,14930,17,0,0,1
1,28,611,638,63628,53587,17,0,0,1
1,28,611,638,63632,20058,17,0,0,1
1,28,611,638,63633,37763,17,0,0,1
1,28,611,638,63633,44688,17,0,0,1
1,28,611,638,63788,14930,17,0,0,1
1,28,611,638,63631,41001,17,0,0,1
1,28,675,595,63627,48204,17,0,0,1
1,28,675,595,63633,16280,17,0,0,1
1,28,611,638,63633,33546,17,0,0,1
1,28,611,638,63629,51889,17,0,0,1
1,28,611,638,63628,26467,17,0,0,1
1,28,611,638,63628,60616,17,0,0,1
1,28,675,595,63629,27856,17,0,0,1
1,28,611,638,63627,28208,17,0,0,1
1,28,611,638,63628,34735,17,0,0,1
1,28,675,595,63628,42335,17,0,0,1
1,28,611,638,63630,46965,17,0,0,1
1,28,611,638,63630,217,17,0,0,1
1,28,611,638,63630,16023,17,0,0,1
1,28,675,595,63630,20395,17,0,0,1
1,28,611,638,63628,38670,17,0,0,1
1,28,611,638,63861,14930,17,0,0,1
1,28,611,638,63633,61411,17,0,0,1
1,28,675,595,63627,49338,17,0,0,1
1,28,611,638,63627,26751,17,0,0,1
1,28,611,638,63631,49940,17,0,0,1
1,28,611,638,63631,2649,17,0,0,1
1,28,611,638,63628,36099,17,0,0,1
1,28,675,595,63632,26834,17,0,0,1
1,28,611,638,63627,31593,17,0,0,1
1,28,611,638,63631,6554,17,0,0,1
1,28,675,595,63630,37001,17,0,0,1
1,28,611,638,63628,17053,17,0,0,1
1,28,675,595,63629,49743,17,0,0,1
1,28,611,638,63628,58528,17,0,0,1
1,28,611,638,63629,30631,17,0,0,1
1,28,675,595,63630,38782,17,0,0,1
1,28,611,638,63632,64500,17,0,0,1
1,28,611,638,63629,54699,17,0,0,1
1,28,611,638,63628,63450,17,0,0,1
1,28,675,595,63630,13788,17,0,0,1
1,28,611,638,63713,14930,17,0,0,1
1,28,611,638,63628,54696,17,0,0,1
1,28,675,595,63628,31543,17,0,0,1
1,28,675,595,63630,29953,17,0,0,1
1,28,675,595,63632,59996,17,0,0,1
1,28,611,638,63633,32865,17,0,0,1
1,28,611,638,63629,28347,17,0,0,1
1,28,675,595,63630,52634,17,0,0,1
1,28,675,595,63633,16769,17,0,0,1
1,28,611,638,63628,20107,17,0,0,1
1,28,611,638,63633,9692,17,0,0,1
1,28,611,638,63628,6063,17,0,0,1
1,28,611,638,63630,51918,17,0,0,1
1,28,675,595,63633,56927,17,0,0,1
1,28,611,638,63629,60136,17,0,0,1
1,28,675,595,63628,47615,17,0,0,1
1,28,675,595,63628,13066,17,0,0,1
1,28,675,595,63632,64857,17,0,0,1
1,28,675,595,63872,14930,17,0,0,1
1,28,675,595,63630,2589,17,0,0,1
1,28,611,638,63633,26564,17,0,0,1
1,28,611,638,63630,29769,17,0,0,1
1,28,611,638,63632,26220,17,0,0,1
1,28,611,638,63633,52031,17,0,0,1
1,28,675,595,63739,14930,17,0,0,1
1,28,675,595,63627,56633,17,0,0,1
1,28,611,638,63628,16789,17,0,0,1
1,28,611,638,63707,14930,17,0,0,1
1,28,675,595,63631,38043,17,0,0,1
1,28,611,638,63631,45985,17,0,0,1
1,28,611,638,63630,58429,17,0,0,1
1,28,611,638,63632,41319,17,0,0,1
1,28,611,638,63633,54596,17,0,0,1
1,28,675,595,63633,359,17,0,0,1
1,28,611,638,63633,7522,17,0,0,1
1,28,675,595,63627,32809,17,0,0,1
1,28,675,595,63632,5067,17,0,0,1
1,28,611,638,63632,5354,17,0,0,1
1,28,675,595,63631,26289,17,0,0,1
1,28,611,638,63628,15935,17,0,0,1
1,28,611,638,63630,41808,17,0,0,1
1,28,675,595,63707,14930,17,0,0,1
1,28,675,595,63630,64671,17,0,0,1
1,28,611,638,63691,14930,17,0,0,1
1,28,675,595,63629,12597,17,0,0,1
1,28,611,638,63629,51997,17,0,0,1
1,28,611,638,63633,28808,17,0,0,1
1,28,675,595,63630,23001,17,0,0,1
1,28,611,638,63884,14930,17,0,0,1
1,28,611,638,63832,14930,17,0,0,1
1,28,675,595,63630,41057,17,0,0,1
1,28,611,638,63629,7008,17,0,0,1
1,28,611,638,63628,39944,17,0,0,1
1,28,675,595,63628,46261,17,0,0,1
1,28,675,595,63627,38560,17,0,0,1
1,28,611,638,63631,39065,17,0,0,1
1,28,611,638,63627,30148,17,0,0,1
1,28,611,638,63628,37760,17,0,0,1
1,28,611,638,63630,11651,17,0,0,1
1,28,611,638,63632,55595,17,0,0,1
1,28,675,595,63629,17335,17,0,0,1
