dpkts,doctets,engine_type,engine_id,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,68,0,0,35,35,7372,60146,17,0,0,0
1,61,0,0,35,35,37820,443,17,0,0,0
1,68,0,0,35,35,26534,52983,17,0,0,0
1,68,0,0,35,35,18688,36853,17,0,0,0
1,1452,0,0,35,35,318,39058,6,0,24,0
1,68,0,0,35,35,32234,33350,17,0,0,0
1,148,0,0,35,35,63864,57833,17,0,0,0
1,1452,0,0,35,35,446,49480,6,0,16,0
1,92,0,0,35,35,51934,443,6,0,24,0
1,56,0,0,35,35,36853,10000,17,0,0,0
1,60,0,0,35,35,80,49738,6,0,18,0
1,88,0,0,65535,35,0,1281,1,192,0,0
1,56,0,0,35,35,41243,10000,17,0,0,0
1,61,0,0,35,35,48030,443,17,0,0,0
1,68,0,0,35,35,1210,52703,17,0,0,0
1,68,0,0,35,35,59100,48547,17,0,0,0
1,106,0,0,35,35,42470,993,6,0,24,0
1,148,0,0,35,35,45079,60437,17,0,0,0
1,1452,0,0,35,35,157,49482,6,0,16,0
1,136,0,0,35,35,16203,43586,17,0,0,0
1,68,0,0,35,35,17634,48922,17,0,0,0
1,52,0,0,35,35,18,55516,6,0,16,0
1,52,0,0,35,35,48592,443,6,0,16,0
1,638,0,0,35,35,444,55070,6,0,24,0
1,1452,0,0,35,35,254,60782,6,0,24,0
1,68,0,0,35,35,34021,56210,17,0,0,0
1,148,0,0,35,35,31823,46736,17,0,0,0
1,59,0,0,35,35,42969,443,17,0,0,0
1,52,0,0,35,35,333,52380,6,0,16,0
1,1452,0,0,35,35,243,55192,6,0,16,0
1,68,0,0,35,35,59471,53931,17,0,0,0
1,1452,0,0,35,35,81,32788,6,0,24,0
1,68,0,0,35,35,45418,51055,17,0,0,0
1,52,0,0,35,35,41512,443,6,0,16,0
1,80,0,0,65535,35,0,1281,1,192,0,0
1,52,0,0,35,35,37546,443,6,0,17,0
1,52,0,0,35,35,59632,443,6,0,16,0
1,68,0,0,35,35,49692,41080,17,0,0,0
1,488,0,0,35,35,60133,443,17,0,0,0
1,68,0,0,35,35,5494,48922,17,0,0,0
1,52,0,0,35,35,202,55516,6,0,16,0
1,166,0,0,35,35,214,41642,17,0,0,0
1,964,0,0,35,35,139,51484,6,0,24,0
1,1385,0,0,35,35,46,58561,17,0,0,0
1,88,0,0,65535,35,0,1281,1,192,0,0
1,60,0,0,35,35,443,48170,6,0,18,0
1,68,0,0,35,35,52502,56210,17,0,0,0
1,68,0,0,35,35,3462,52983,17,0,0,0
1,56,0,0,35,35,46958,10000,17,0,0,0
1,56,0,0,35,35,57833,10000,17,0,0,0
1,52,0,0,35,35,2,37520,6,0,16,0
1,52,0,0,35,35,80,41290,6,0,17,0
1,80,0,0,65535,35,0,1281,1,192,0,0
1,1452,0,0,35,35,447,45054,6,0,16,0
1,1452,0,0,35,35,65,49200,6,0,16,0
1,1452,0,0,35,35,397,51224,6,0,16,0
1,92,0,0,35,35,53931,10000,17,0,0,0
1,68,0,0,35,35,12029,53931,17,0,0,0
1,68,0,0,35,35,34867,60146,17,0,0,0
1,52,0,0,35,35,51842,443,6,0,16,0
1,92,0,0,35,35,55006,443,6,0,24,0
1,92,0,0,35,35,35735,10000,17,0,0,0
1,136,0,0,35,35,25887,46318,17,0,0,0
1,148,0,0,35,35,54330,35735,17,0,0,0
1,136,0,0,35,35,7416,48547,17,0,0,0
1,68,0,0,35,35,19551,49649,17,0,0,0
1,219,0,0,35,35,52172,443,6,0,24,0
1,91,0,0,35,35,36198,443,6,0,24,0
1,1452,0,0,35,35,213,41582,6,0,24,0
1,92,0,0,35,35,46958,10000,17,0,0,0
1,68,0,0,35,35,14289,57833,17,0,0,0
1,128,0,0,35,35,35735,10000,17,0,0,0
1,1452,0,0,35,35,100,58020,6,0,16,0
1,148,0,0,35,35,29722,41080,17,0,0,0
1,92,0,0,35,35,57128,443,6,0,24,0
1,92,0,0,35,35,56210,10000,17,0,0,0
