dpkts,doctets,srcport,dstport,prot,tos,tcp_flags,Label
5.137215012997153e-05,6.12565151890817e-06,0.8071771668388007,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,1.4665647773281776e-05,0.0013114969097854,0.8070094838053358,0.3125,0.0,0.8709677419354839,1
3.082329007798292e-05,8.779435401692491e-07,0.807193560550173,0.0004430151281462,0.3125,0.0,6.806451612903226,1
1.0274430025994308e-05,3.4585654612728e-07,0.0013114969097854,0.807025891773045,0.3125,0.0,0.6129032258064516,1
0.0001027443002599,3.155940983411429e-05,0.0068853587763733,0.752551438978768,0.3125,0.0,0.8064516129032258,0
0.0,1.330217485104923e-07,0.0072624141379366,0.9124306763364288,0.3125,0.0,0.5806451612903225,0
0.0,1.330217485104923e-07,0.0072624141379366,0.773127030486004,0.3125,0.0,0.5806451612903225,0
0.0004828982112217,0.0004203221209434,0.0025410252627092,0.9497423949069668,0.3125,0.0,0.935483870967742,0
0.0,1.330217485104923e-07,0.0072624141379366,0.7731926623568404,0.3125,0.0,0.5806451612903225,0
0.0,1.330217485104923e-07,0.0072624141379366,0.7796902175696517,0.3125,0.0,0.5806451612903225,0
0.0001335675903379,9.896818089180629e-06,0.9124084001377072,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001438420203639,1.000323548798902e-05,0.9124739749831964,0.0063991074065566,0.3125,0.0,1.0,0
0.0001952141704938,1.373449553370833e-05,0.8347022082329218,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001027443002599,3.155940983411429e-05,0.0023443007262414,0.9123650444655924,0.3125,0.0,0.8064516129032258,0
0.0,1.330217485104923e-07,0.0072624141379366,0.7732254782922586,0.3125,0.0,0.5806451612903225,0
0.0,1.330217485104923e-07,0.0072624141379366,0.7795589538279788,0.3125,0.0,0.5806451612903225,0
0.0001027443002599,3.155940983411429e-05,0.0062460040328529,0.9124963082072652,0.3125,0.0,0.8064516129032258,0
0.0001027443002599,3.155940983411429e-05,0.0045902391842489,0.9123978604010108,0.3125,0.0,0.8064516129032258,0
0.0,1.330217485104923e-07,0.0072624141379366,0.7732582942276769,0.3125,0.0,0.5806451612903225,0
0.0001335675903379,9.896818089180629e-06,0.9125067624059412,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001438420203639,1.000323548798902e-05,0.9124411875604518,0.0063991074065566,0.3125,0.0,1.0,0
0.0001335675903379,9.896818089180629e-06,0.9125723372514304,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001952141704938,1.373449553370833e-05,0.6158133739897376,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0,1.330217485104923e-07,0.0072624141379366,0.7796574016342335,0.3125,0.0,0.5806451612903225,0
0.0001027443002599,3.155940983411429e-05,0.0068853587763733,0.912332228530174,0.3125,0.0,0.8064516129032258,0
9.246987023394876e-05,1.0269278985010005e-05,0.949818849489336,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001746653104419,0.0001149640461501,0.0011967409301791,0.8345584615889475,0.3125,0.0,0.935483870967742,0
0.0,1.330217485104923e-07,0.0072624141379366,0.77972303350507,0.3125,0.0,0.5806451612903225,0
0.0001027443002599,3.155940983411429e-05,0.0074919260971491,0.9124306763364288,0.3125,0.0,0.8064516129032258,0
0.0,1.330217485104923e-07,0.0072624141379366,0.7908804515472713,0.3125,0.0,0.5806451612903225,0
0.0,1.330217485104923e-07,0.0072624141379366,0.7909132674826895,0.3125,0.0,0.5806451612903225,0
1.0274430025994308e-05,3.990652455314769e-07,0.0072624141379366,0.8345584615889475,0.3125,0.0,0.7096774193548387,0
0.0,1.330217485104923e-07,0.0072624141379366,0.7796245856988152,0.3125,0.0,0.5806451612903225,0
0.0020754348652508,7.705284782470266e-05,0.8698175379924261,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
7.192101018196015e-05,2.231439831263508e-05,0.0010164101050836,0.666081449151708,0.3125,0.0,0.935483870967742,0
9.246987023394876e-05,3.106722936462547e-05,0.0078525877473401,0.7732254782922586,0.3125,0.0,0.8064516129032258,0
0.0001027443002599,3.155940983411429e-05,0.0022623321693798,0.5470908673251731,0.3125,0.0,0.8064516129032258,0
9.246987023394876e-05,3.106722936462547e-05,6.557484548927032e-05,0.7796902175696517,0.3125,0.0,0.8064516129032258,0
0.0001130187302859,3.198507942934788e-05,0.0059837046508959,0.7731598464214222,0.3125,0.0,0.8064516129032258,0
0.0001335675903379,9.896818089180629e-06,0.5475499598354071,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001232931603119,9.550961543053348e-06,0.7798816374038919,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001232931603119,9.550961543053348e-06,0.7799144248266365,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
1.0274430025994308e-05,3.990652455314769e-07,0.0072624141379366,0.8697043284218816,0.3125,0.0,0.7096774193548387,0
9.246987023394876e-05,1.0269278985010005e-05,0.6663715798619649,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
1.0274430025994308e-05,3.990652455314769e-07,0.0072624141379366,0.666081449151708,0.3125,0.0,0.7096774193548387,0
0.0001027443002599,3.155940983411429e-05,0.0022951195921244,0.5470252354543366,0.3125,0.0,0.8064516129032258,0
0.0001232931603119,9.550961543053348e-06,0.7734225151231987,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001438420203639,1.148642798388101e-05,0.7734553025459434,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001027443002599,3.155940983411429e-05,0.0018033082509549,0.7731926623568404,0.3125,0.0,0.8064516129032258,0
9.246987023394876e-05,3.106722936462547e-05,0.0077870129018508,0.77972303350507,0.3125,0.0,0.8064516129032258,0
7.192101018196015e-05,2.231439831263508e-05,0.0039344907293562,0.9497752108423848,0.3125,0.0,0.935483870967742,0
0.0001438420203639,1.000323548798902e-05,0.5474188101444286,0.0063991074065566,0.3125,0.0,1.0,0
0.0001027443002599,3.155940983411429e-05,0.0057050115575665,0.7796245856988152,0.3125,0.0,0.8064516129032258,0
0.0023836677660306,0.0022359692218002,0.0009344415482221,0.8697043284218816,0.3125,0.0,0.935483870967742,0
0.0001438420203639,1.000323548798902e-05,0.5474843849899179,0.0063991074065566,0.3125,0.0,1.0,0
0.0001746653104419,0.0001149640461501,0.0036230102132821,0.6154792767367833,0.3125,0.0,0.935483870967742,0
0.0001438420203639,1.148642798388101e-05,0.7733569402777095,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001438420203639,1.000323548798902e-05,0.7797504877129133,0.0063991074065566,0.3125,0.0,1.0,0
0.0001027443002599,3.155940983411429e-05,0.0034754668109313,0.5471236832605912,0.3125,0.0,0.8064516129032258,0
0.0001027443002599,3.155940983411429e-05,0.0001639371137231,0.5471564991960095,0.3125,0.0,0.8064516129032258,0
0.0001335675903379,9.896818089180629e-06,0.7733897277004541,0.0063991074065566,0.3125,0.0,0.8709677419354839,0
0.0001541164503899,1.018946593590371e-05,0.7798160625584026,0.0063991074065566,0.3125,0.0,1.0,0
0.0001541164503899,1.018946593590371e-05,0.5475171724126625,0.0063991074065566,0.3125,0.0,1.0,0
