dpkts,doctets,srcaddr,dstaddr,input,output,srcport,dstport,prot,tos,tcp_flags,Label
0.0,7.096728408203818e-05,0.6993700739072337,0.6414669958092936,0.014333185305422417,0.014333185305422417,0.6225554534715843,0.006907754405539329,0.3125,0.0,0.07692307692307693,1
0.0,4.258037044922291e-05,0.6414669650667748,0.6993700725224357,0.014333185305422417,0.014333185305422417,0.007268014175088595,0.6773209070324548,0.3125,0.0,0.6153846153846154,1
0.0,0.0011638634589454262,0.6414669958092936,0.6993700739072337,0.014333185305422417,0.014333185305422417,0.007268014175088595,0.6352836937616906,0.3125,0.0,0.9230769230769231,1
0.0,0.0011177347242921013,0.6414669958092936,0.6993700739072337,0.014333185305422417,0.014333185305422417,0.007268014175088595,0.6419125127161749,0.3125,0.0,0.9230769230769231,1
0.0,7.096728408203818e-05,0.6993700739072337,0.6414669958092936,0.014333185305422417,0.014333185305422417,0.6488712429452684,0.006907754405539329,0.3125,0.0,0.07692307692307693,1
0.0,0.0015932155276417571,0.6414669852848278,0.6993700736302741,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.665539986217307,0.3125,0.0,0.9230769230769231,1
0.0,4.258037044922291e-05,0.6414669852848278,0.6993700736302741,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.6720703573655366,0.3125,0.0,0.6538461538461539,1
0.0,7.096728408203818e-05,0.6414669852848278,0.6993700736302741,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.6786007285137662,0.3125,0.0,0.6923076923076923,1
0.0,0.0012206372862110567,0.6993700736302741,0.6414669852848278,0.014333185305422417,0.014333185305422417,0.6855230345189658,0.0009516621271289337,0.3125,0.0,0.9230769230769231,1
0.0,7.096728408203818e-05,0.6993700736302741,0.6414669852848278,0.014333185305422417,0.014333185305422417,0.6921183882399266,0.0009516621271289337,0.3125,0.0,0.07692307692307693,1
0.0,4.258037044922291e-05,0.6414669852848278,0.6993700736302741,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.6982574738292914,0.3125,0.0,0.6153846153846154,1
0.0,0.0011638634589454262,0.6993700736302741,0.6414669852848278,0.014333185305422417,0.014333185305422417,0.7052106575666098,0.0009516621271289337,0.3125,0.0,0.9230769230769231,1
0.0,4.258037044922291e-05,0.641466975314281,0.6993700741841933,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.9301676894299871,0.3125,0.0,0.6538461538461539,1
0.02150537634408602,0.0007664466680860123,0.6414669512187934,0.6414669852848278,1.0,0.014333185305422417,0.0,0.020657631345781507,0.0,1.0,0.0,1
0.0,7.096728408203818e-05,0.6414669852848278,0.6993700736302741,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.7180454828864896,0.3125,0.0,0.6923076923076923,1
0.0,4.258037044922291e-05,0.6993700736302741,0.6414669852848278,0.014333185305422417,0.014333185305422417,0.7247998424990156,0.0009516621271289337,0.3125,0.0,0.6538461538461539,1
0.0,4.258037044922291e-05,0.641466975314281,0.6993700741841933,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.9498900666163488,0.3125,0.0,0.6538461538461539,1
0.010752688172043012,0.0004258037044922291,0.6414669512187934,0.641466975314281,1.0,0.014333185305422417,0.0,0.020657631345781507,0.0,1.0,0.0,1
0.0,4.258037044922291e-05,0.6993700730763548,0.6414669764221197,0.014333185305422417,0.014333185305422417,0.809850374064838,0.006907754405539329,0.3125,0.0,0.6153846153846154,1
